Nanopore_ID	Plasmid_ID	Contig_ID	Sequence_size	Number_of_AR_genes	AR_gene_list	Best_blast_hit	Fraction_aligned	Percent_identity	novel	clusters
1440	N209_BC05	p_4487	tig00000180	7130	0	NA	Bacillus cereus strain CC-1 plasmid p3, complete sequence	0.476	92.082	yes	121
1441	N209_BC05	p_4489	tig00000196	96433	0	NA	Bacillus cereus C1L plasmid pC1L1, complete sequence	0.444	92.146	yes	38
1442	N209_BC05	p_4490	tig00000181	7072	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.408	89.244	yes	121
1443	N209_BC05	p_4491	tig00000269	13659	0	NA	Bacillus cereus AH187 plasmid pAH187 270, complete sequence	0.159	99.165	yes	381
1444	N234_BC07	p_4495	tig00000104	1335	0	NA	Listeria monocytogenes strain LM-C-273 plasmid pLM-C-273 clone contig000006 genomic sequence	0.98	92.07	yes	163
1445	N234_BC07	p_4502	tig00003592	9086	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.688	90.757	yes	8
1446	N234_BC07	p_4503	tig00000096	88011	0	NA	Bacillus cereus C1L plasmid pC1L1, complete sequence	0.517	92.864	yes	38
1447	N234_BC07	p_4506	tig00000071	4035	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT6880, complete sequence	0.415	91.398	yes	39
1448	N234_BC07	p_4507	tig00000083	84160	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p142098, complete sequence	0.41	88.765	yes	12
1449	N152_BC01	p_4510	tig00000226	9034	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.689	91.567	yes	8
1450	N152_BC01	p_4511	tig00000143	7095	0	NA	Bacillus cereus strain CC-1 plasmid p3, complete sequence	0.608	91.67	yes	121
1451	N152_BC01	p_4512	tig00000080	51435	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p142098, complete sequence	0.56	89.583	yes	12
1452	N152_BC01	p_4513	tig00000109	6111	0	NA	Bacillus thuringiensis serovar thuringiensis str. IS5056 plasmid pIS56-285, complete sequence	0.497	84.283	yes	383
1453	N180_BC07	p_4517	tig00000061	5889	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.556	86.228	yes	33
1454	N190_BC05	p_4532	tig00000078	251060	0	NA	Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-1-360K, complete sequence	0.679	94.773	yes	288
1455	N197_BC11	p_4533	tig00000096	10971	0	NA	Sphingobium yanoikuyae plasmid pYAN-1 DNA, complete sequence	0.755	92.307	yes	56
1456	N197_BC11	p_4534	tig00000048	7589	0	NA	Sphingomonas sp. DC-6 plasmid pDC09, complete sequence	0.719	89.06	yes	57
1457	N197_BC11	p_4535	tig00000078	6776	0	NA	Sphingomonas sp. DC-6 plasmid pDC10, complete sequence	0.316	87.164	yes	384
1458	N211_BC12	p_4536	tig00000073	274077	0	NA	Bacillus thuringiensis strain c25 plasmid unnamed1, complete sequence	0.484	95.084	yes	385
1459	N211_BC12	p_4537	tig00000084	71051	0	NA	Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-3, complete sequence	0.453	93.578	yes	47
1460	N120_BC02	p_4539	tig00000014	10110	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.869	91.063	yes	1
1461	N120_BC02	p_4540	tig00000048	9059	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.751	91.882	yes	8
1462	N120_BC02	p_4542	tig00000019	4792	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.643	88.806	yes	37
1463	N120_BC02	p_4543	tig00000012	11869	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.236	84.551	yes	88
1464	N128_BC01	p_4544	tig00000039	9063	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.686	89.857	yes	8
1465	N240_BC02	p_4549	tig00000156	181529	0	NA	Alicycliphilus denitrificans BC plasmid pALIDE02, complete sequence	0.068	95.741	yes	53
1466	N170_BC11	p_4550	tig00000027	194894	0	NA	Delftia acidovorans plasmid pMC1, partial sequence	0.066	90.728	yes	53
1467	N175_BC03	p_4558	tig00000035	195041	0	NA	Delftia acidovorans plasmid pMC1, partial sequence	0.082	88.77	yes	53
1468	N213_BC07	p_4563	tig00010957	9087	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.663	92.982	yes	8
1469	N213_BC07	p_4564	tig00010964	7127	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.629	89.952	yes	11
1470	N213_BC07	p_4566	tig00000205	63733	0	NA	Bacillus thuringiensis MC28 plasmid pMC189, complete sequence	0.527	88.702	yes	12
1471	N213_BC07	p_4567	tig00000332	7111	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.502	87.93	yes	121
1472	N213_BC07	p_4572	tig00000438	12568	0	NA	Acinetobacter baumannii strain B8300 plasmid pB8300, complete sequence	0.344	98.028	yes	216
1473	N213_BC07	p_4573	tig00010968	31260	0	NA	Bacillus cereus AH187 plasmid pAH187 270, complete sequence	0.076	98.95	yes	387
1474	N213_BC07	p_4574	tig00000073	133641	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT281, complete sequence	0.009	84.8	yes	222
1475	N172_BC05	p_4576	tig00000035	4302	0	NA	Bacillus cereus F837/76 plasmid pF837 10, complete sequence	0.422	79.35	yes	23
1476	N172_BC05	p_4577	tig00000032	4138	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.327	85.425	yes	22
1477	N173_BC10	p_4582	tig00000200	4558	0	NA	Acinetobacter johnsonii XBB1 plasmid pXBB1-2, complete sequence	0.739	86.777	yes	388
1478	N173_BC10	p_4584	tig00000361	6442	0	NA	Acinetobacter baumannii pAb242 9 plasmid,complete sequence	0.715	93.158	yes	244
1479	N173_BC10	p_4586	tig00007929	6506	0	NA	Acinetobacter johnsonii XBB1 plasmid pXBB1-4, complete sequence	0.641	86.839	yes	389
1480	N173_BC10	p_4587	tig00000311	5859	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.604	84.936	yes	33
1481	N173_BC10	p_4589	tig00000211	7487	1	Tet-39;	Acinetobacter baumannii strain 11510 plasmid pAba11510a	0.547	88.473	yes	79
1482	N173_BC10	p_4590	tig00007920	34908	0	NA	Bacillus cereus Q1 plasmid pBc239, complete sequence	0.137	88.091	yes	169
1483	N173_BC10	p_4591	tig00000312	39408	0	NA	Acinetobacter schindleri strain SGAir0122 plasmid pSGAir0122, complete sequence	0.104	94.276	yes	390
1484	N173_BC10	p_4592	tig00000326	4299	0	NA	Bacillus thuringiensis serovar tolworthi plasmid pKK8 DNA, complete genome, strain: Pasteur Institute Standard strain	0.094	74.31	yes	117
1485	N173_BC10	p_4593	tig00007931	28395	0	NA	Uncultured organism plasmid pK5, complete sequence	0.059	98.745	yes	391
1486	N105_BC10	p_4596	tig00000002	2704	0	NA	Listeria monocytogenes strain LM-C-273 plasmid pLM-C-273 clone contig000005 genomic sequence	0.481	81.291	yes	34
1487	N236_BC10	p_4598	tig00000139	1162	0	NA	Staphylococcus aureus plasmid pSK6, complete genome	0.836	86.46	yes	141
1488	N236_BC10	p_4600	tig00000287	7984	0	NA	Bacillus megaterium NBRC 15308 = ATCC 14581 plasmid pBMV 3, complete sequence	0.569	91.567	yes	392
1489	N236_BC10	p_4601	tig00000233	10866	0	NA	Acinetobacter baumannii strain B8300 plasmid pB8300, complete sequence	0.532	89.565	yes	393
1490	N236_BC10	p_4603	tig00001168	4618	0	NA	Bacillus megaterium strain JX285 plasmid 8, complete sequence	0.429	91.075	yes	394
1491	N236_BC10	p_4604	tig00000572	13942	0	NA	Bacillus megaterium WSH-002 plasmid WSH-002 p2, complete sequence	0.241	85.097	yes	395
1492	N193_BC10	p_4609	tig00000050	247485	0	NA	Bacillus cereus strain BC-AK plasmid pBC244 sequence	0.877	94.439	yes	36
1493	N193_BC10	p_4610	tig00000132	4836	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.779	88.605	yes	37
1494	N193_BC10	p_4611	tig00000063	204136	0	NA	Bacillus thuringiensis strain SCG04-02 plasmid PSCG364, complete sequence	0.525	91.963	yes	38
1495	N193_BC10	p_4613	tig00000201	3969	0	NA	Bacillus thuringiensis strain 4Q2 plasmid pTX14-2, complete sequence	0.384	93.178	yes	39
1496	N134_BC12	p_4617	tig00000040	2891	0	NA	Staphylococcus aureus strain RIVM6519 plasmid pRIVM6519-2, complete sequence	0.597	82.383	yes	396
1497	N104_BC02	p_4620	tig00000063	7154	0	NA	Staphylococcus epidermidis strain FDAARGOS 153 plasmid unnamed4	0.312	84.954	yes	35
1498	N223_BC01	p_4628	tig00000321	184851	0	NA	Bacillus thuringiensis strain SCG04-02 plasmid PSCG364, complete sequence	0.768	93.083	yes	123
1499	N223_BC01	p_4631	tig00000212	7108	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.537	88.755	yes	11
1500	N223_BC01	p_4632	tig00000090	96535	0	NA	Bacillus cereus C1L plasmid pC1L1, complete sequence	0.444	92.224	yes	38
1501	N223_BC01	p_4633	tig00000093	93307	0	NA	Staphylococcus sp. 693-2 plasmid pLEW6932, complete sequence	0.093	75.571	yes	89
1502	N125_BC02	p_4636	tig00000002	13154	1	VgaA;	Staphylococcus epidermidis PM221 plasmid 1, complete sequence	0.551	90.169	yes	186
1503	N124_BC07	p_4643	tig00000002	5880	0	NA	Staphylococcus aureus plasmid pRJ9 MobC-like protein, MobA-like protein, MobB-like protein, replication protein Rep, SAP029-like protein, YdbS-like protein, YdbT-like protein, aureocin A53 (aucA), SA0191/BacG-like protein, putative ABC transporter ATP-binding protein, and SA0193/BacI-like protein genes, complete cds; and unknown genes	0.593	81.705	yes	33
1504	N155_BC05	p_4647	tig00000638	11964	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.703	92.701	yes	1
1505	N155_BC05	p_4649	tig00000150	8631	0	NA	Staphyloccous epidermidis trimethoprim resistance plasmid pSK639, complete sequence	0.368	89.843	yes	17
1506	N155_BC05	p_4650	tig00000114	8080	0	NA	Bacillus cereus ATCC 4342 plasmid pBGM, complete sequence	0.114	85.77	yes	4
1507	N205_BC04	p_4665	tig00000043	6207	0	NA	Enterococcus faecium strain 2014-VREF-41 plasmid p41-2, complete sequence	0.997	97.232	yes	7
1508	N198_BC04	p_4681	tig00002946	10173	0	NA	Aeromonas sp. Ne-1 plasmid pNe-1, complete sequence	0.221	84.527	yes	271
1509	N198_BC04	p_4682	tig00002947	10197	0	NA	Aeromonas sp. Ne-1 plasmid pNe-1, complete sequence	0.219	84.551	yes	271
1510	N234_BC01	p_4688	tig00000092	3469	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.573	85.869	yes	10
1511	N195_BC11	p_4692	tig00000367	7109	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.654	88.077	yes	11
1512	N195_BC11	p_4693	tig00001048	7089	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.591	89.239	yes	11
1513	N195_BC11	p_4694	tig00001047	7164	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.588	88.696	yes	11
1514	N132_BC07	p_4698	tig00000002	2245	0	NA	Staphylococcus aureus plasmid pKH4 replication protein Rep (rep) and quaternary ammonium compounds resistance protein Qac genes, complete cds	0.844	82.041	yes	137
1515	N239_BC02	p_4702	tig00000151	2155	0	NA	Staphylococcus aureus strain ST2594 isolate 004 plasmid unnamed9	0.824	90.631	yes	60
1516	N239_BC02	p_4704	tig00000199	13902	0	NA	Staphylococcus epidermidis PM221 plasmid 1, complete sequence	0.587	86.759	yes	354
1517	N239_BC02	p_4705	tig00000268	4782	0	NA	Staphylococcus epidermidis plasmid SAP110B, complete sequence	0.431	82.842	yes	355
1518	N213_BC11	p_4707	tig00000120	11677	0	NA	Bacillus thuringiensis serovar aizawai strain 1-3 plasmid pBt1-3, complete sequence	0.025	78.26	yes	398
1519	N213_BC11	p_4708	tig00000109	95372	0	NA	Bacillus cereus E33L plasmid pBCO 1, complete sequence	0.024	78.41	yes	101
1520	N238_BC03	p_4717	tig00000693	9086	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.71	92.377	yes	8
1521	N130_BC04	p_4720	tig00000049	3403	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.536	87.573	yes	10
1522	N214_BC03	p_4726	tig00001566	3472	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.484	88.963	yes	10
1523	N214_BC03	p_4727	tig00000111	3467	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.404	88.54	yes	10
1524	N223_BC07	p_4731	tig00000184	4836	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.637	86.052	yes	37
1525	N223_BC07	p_4732	tig00000095	3561	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.511	85.505	yes	10
1526	N223_BC07	p_4733	tig00004933	4123	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.407	84.498	yes	22
1527	N162_BC07	p_4738	tig00000013	415994	0	NA	Sphingobium cloacae plasmid pSCLO 2 DNA, complete sequence, strain: JCM 10874	0.414	95.806	yes	399
1528	N134_BC02	p_4741	tig00000003	58368	0	NA	Enterococcus faecalis strain CK135 plasmid pPD1, complete sequence	0.474	95.042	yes	28
1529	N147_BC03	p_4746	tig00000194	2737	0	NA	Staphylococcus lugdunensis strain Tlug20G-4 plasmid pT20G, complete sequence	0.648	89.777	yes	348
1530	N104_BC06	p_4752	tig00000538	27504	1	AacAad;	Pseudomonas aeruginosa plasmid pJB35, complete sequence	0.389	85.096	yes	15
1531	N239_BC01	p_4753	tig00001827	2245	0	NA	Staphylococcus aureus strain SR434 plasmid pSR04, complete genome	0.808	91.151	yes	126
1532	N239_BC01	p_4755	tig00001826	2253	0	NA	Staphylococcus aureus strain SR434 plasmid pSR04, complete genome	0.679	91.498	yes	126
1533	N240_BC03	p_4760	tig00000074	9327	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.694	92.139	yes	8
1534	N240_BC03	p_4761	tig00002010	5191	0	NA	Uncultured organism plasmid pK5, complete sequence	0.63	89.822	yes	143
1535	N223_BC11	p_4765	tig00000232	2726	0	NA	Staphylococcus warneri plasmid pPI-2 DNA, complete sequence	0.836	90.86	yes	113
1536	N223_BC11	p_4766	tig00000254	3152	0	NA	Staphylococcus simulans bv. staphylolyticus strain NRRL B-2628 plasmid pACK2, complete sequence	0.834	82.371	yes	206
1537	N223_BC11	p_4767	tig00000270	3920	0	NA	Staphylococcus aureus plasmid pC221 complete DNA sequence	0.805	87.827	yes	204
1538	N223_BC11	p_4769	tig00000244	2720	0	NA	Staphylococcus aureus strain SR434 plasmid pSR03, complete genome	0.75	92.287	yes	400
1539	N223_BC11	p_4771	tig00003701	2992	0	NA	Staphylococcus aureus strain SA1159 plasmid pHSSA1159, complete sequence	0.706	82.694	yes	179
1540	N223_BC11	p_4772	tig00017682	2877	0	NA	Staphylococcus warneri plasmid pPI-2 DNA, complete sequence	0.697	86.882	yes	205
1541	N223_BC11	p_4773	tig00017683	2878	0	NA	Staphylococcus simulans bv. staphylolyticus strain NRRL B-2628 plasmid pACK5, complete sequence	0.601	83.122	yes	205
1542	N223_BC11	p_4775	tig00000317	10833	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.573	84.039	yes	189
1543	N223_BC11	p_4777	tig00000167	8261	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.449	88.738	yes	189
1544	N223_BC11	p_4778	tig00003695	33439	0	NA	Staphylococcus saprophyticus strain FDAARGOS 168 plasmid unnamed2, complete sequence	0.323	94.939	yes	401
1545	N223_BC11	p_4779	tig00000184	3980	0	NA	Staphylococcus aureus strain USA300-SUR15 plasmid pUSA07-1-SUR15, complete sequence	0.266	82.43	yes	208
1546	N223_BC11	p_4782	tig00000405	6127	0	NA	Staphylococcus sp. 693-2 plasmid SAP008A, complete sequence	0.195	76.53	yes	209
1547	N223_BC11	p_4783	tig00000255	48042	0	NA	Bacillus cereus strain 3a plasmid pBFC 3, complete sequence	0.101	86.758	yes	197
1548	N202_BC09	p_4791	tig00004504	84174	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p142098, complete sequence	0.387	88.85	yes	12
1549	N202_BC09	p_4792	tig00000126	133687	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT281, complete sequence	0.009	84.94	yes	222
1550	N213_BC01	p_4796	tig00000127	11676	0	NA	Bacillus thuringiensis serovar galleriae strain HD-29 plasmid pBMB12, complete sequence	0.643	88.339	yes	402
1551	N213_BC01	p_4797	tig00000117	9876	0	NA	Bacillus mycoides strain ATCC 6462 plasmid pBMX 2, complete sequence	0.574	86.301	yes	51
1552	N213_BC01	p_4798	tig00000121	10988	0	NA	Bacillus thuringiensis serovar finitimus YBT-020 plasmid pBMB26, complete sequence	0.074	81.965	yes	232
1553	N110_BC09	p_4800	tig00000026	2026	0	NA	Enterococcus faecium isolate 2014-VREF-268 plasmid p268-2 sequence	1.003	97.599	yes	24
1554	N110_BC09	p_4803	tig00000983	4291	0	NA	Bacillus cereus F837/76 plasmid pF837 10, complete sequence	0.327	79.825	yes	23
1555	N110_BC09	p_4804	tig00000059	11082	0	NA	Bacillus mycoides strain ATCC 6462 plasmid pBMX 2, complete sequence	0.283	90.152	yes	25
1556	N110_BC09	p_4805	tig00000216	4204	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.262	76.925	yes	63
1557	N110_BC09	p_4806	tig00000009	51019	0	NA	Bacillus weihenstephanensis KBAB4 plasmid pBWB404, complete genome	0.249	85.544	yes	65
1558	N110_BC09	p_4807	tig00000176	4098	0	NA	Bacillus cereus strain NJ-W plasmid plasmid-35-36, complete sequence	0.247	79.529	yes	22
1559	N110_BC09	p_4808	tig00000974	16123	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p46701, complete sequence	0.213	91.619	yes	64
1560	N110_BC09	p_4809	tig00000011	52793	0	NA	Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-6-16K, complete sequence	0.07	94.003	yes	404
1561	N208_BC11	p_4822	tig00000206	46698	0	NA	Bacillus cereus FRI-35 plasmid p02, complete sequence	0.634	92.256	yes	109
1562	N208_BC11	p_4823	tig00000221	35963	0	NA	Bacillus cereus FRI-35 plasmid p02, complete sequence	0.03	85.78	yes	273
1563	N240_BC06	p_4826	tig00000061	10898	0	NA	Corynebacterium diphtheriae plasmid pNG2, complete sequence	0.599	93.985	yes	405
1564	N240_BC06	p_4827	tig00009536	3449	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.489	85.402	yes	10
1565	N234_BC04	p_4829	tig00001292	1330	0	NA	Listeria monocytogenes strain LM-C-273 plasmid pLM-C-273 clone contig000006 genomic sequence	1.012	91.65	yes	163
1566	N160_BC12	p_4853	tig00000344	10146	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.765	92.564	yes	1
1567	N160_BC12	p_4854	tig00000520	4226	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.381	76.62	yes	63
1568	N160_BC12	p_4855	tig00000518	4269	0	NA	Bacillus thuringiensis YBT-1518 plasmid pBMB0228, complete sequence	0.157	92.02	yes	23
1569	N233_BC04	p_4867	tig00000199	133086	0	NA	Bacillus thuringiensis serovar thuringiensis str. IS5056 plasmid pIS56-85, complete sequence	0.517	92.762	yes	194
1570	N233_BC04	p_4868	tig00000398	15837	0	NA	Bacillus thuringiensis strain HD12 plasmid pHD120017, complete sequence	0.209	79.391	yes	320
1571	N233_BC04	p_4869	tig00000341	4308	0	NA	Bacillus thuringiensis serovar tolworthi plasmid pKK8 DNA, complete genome, strain: Pasteur Institute Standard strain	0.095	74.31	yes	117
1572	N227_BC05	p_4870	tig00000083	11130	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.346	92.872	yes	103
1573	N220_BC10	p_4884	tig00000148	2779	0	NA	Acinetobacter sp. M131 plasmid pM131-9, complete sequence	0.102	75.63	yes	43
1574	N216_BC06	p_4888	tig00000022	8448	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.558	93.002	yes	198
1575	N162_BC11	p_4890	tig00000056	180620	0	NA	Alicycliphilus denitrificans BC plasmid pALIDE02, complete sequence	0.067	95.209	yes	53
1576	N187_BC01	p_4894	tig00000314	3814	0	NA	Staphylococcus epidermidis plasmid pIP1629 mobilization protein (mobC1), (orf69-1), (mobA1), (mobB1), and (orf38-1) genes, and replication protein (rep1) gene, complete cds	0.493	82.625	yes	406
1577	N187_BC01	p_4897	tig00000273	12255	0	NA	Acinetobacter baumannii strain SGH0823 plasmid pS30-1, complete sequence	0.464	93.417	yes	407
1578	N187_BC01	p_4899	tig00000295	13277	0	NA	Acinetobacter lwoffii strain VS15 plasmid pALWVS1.1, complete sequence	0.381	88.996	yes	408
1579	N187_BC01	p_4900	tig00000473	5889	1	StrB;	Escherichia coli strain ZH193 plasmid pZH193, complete sequence	0.304	98.447	yes	409
1580	N187_BC12	p_4902	tig00000070	5897	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.529	85.968	yes	33
1581	N140_BC06	p_4905	tig00000012	137001	0	NA	Aeromonas salmonicida subsp. salmonicida strain JF2267 plasmid pAsa4c, complete sequence	0.693	89.595	yes	2
1582	N140_BC06	p_4907	tig00000013	6323	0	NA	Enterobacter cloacae strain R11 plasmid pASM3, complete sequence	0.515	90.368	yes	306
1583	N140_BC06	p_4908	tig00000017	10294	0	NA	Acinetobacter sp. WCHA45 plasmid pNDM1 010045, complete sequence	0.305	94.418	yes	307
1584	N175_BC01	p_4913	tig00000130	10168	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.869	91.048	yes	1
1585	N222_BC09	p_4915	tig00000049	67410	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p55166, complete sequence	0.65	94.738	yes	72
1586	N222_BC09	p_4916	tig00000052	3173	0	NA	Staphylococcus aureus strain SR434 plasmid pSR04, complete genome	0.64	90.302	yes	120
1587	N222_BC09	p_4917	tig00000048	67257	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p120416, complete sequence	0.473	85.998	yes	61
1588	N222_BC09	p_4919	tig00000451	4186	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.334	85.56	yes	22
1589	N222_BC09	p_4920	tig00000450	4108	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.329	85.105	yes	22
1590	N222_BC09	p_4921	tig00000044	97175	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	0.31	92.574	yes	62
1591	N222_BC09	p_4922	tig00000051	50721	0	NA	Bacillus thuringiensis strain YWC2-8 plasmid pYWC2-8-5, complete sequence	0.262	93.11	yes	65
1592	N222_BC09	p_4924	tig00000058	6126	0	NA	Staphylococcus aureus plasmid SAP084A, complete sequence	0.231	73.7	yes	209
1593	N222_BC09	p_4925	tig00000026	13808	0	NA	Bacillus thuringiensis serovar tolworthi plasmid pKK3 DNA, complete genome, strain: Pasteur Institute Standard strain	0.22	94.905	yes	25
1594	N222_BC09	p_4926	tig00000452	2012	0	NA	Bacillus thuringiensis Bt407 plasmid BTB 6p, complete sequence	0.171	84.06	yes	410
1595	N222_BC09	p_4927	tig00000059	6184	0	NA	Staphylococcus sp. 693-2 plasmid SAP008A, complete sequence	0.166	76.97	yes	209
1596	N222_BC09	p_4928	tig00000050	13770	0	NA	Bacillus thuringiensis serovar tolworthi plasmid pKK1 DNA, complete genome, strain: Pasteur Institute Standard strain	0.156	95.3	yes	25
1597	N174_BC07	p_4934	tig00000067	58706	0	NA	Staphylococcus sp. CDC3 plasmid SAP020A, complete sequence	0.763	80.761	yes	223
1598	N174_BC07	p_4936	tig00000349	5324	0	NA	Staphylococcus pSTE2 plasmid	0.413	79.937	yes	411
1599	N159_BC08	p_4942	tig00000293	40888	0	NA	Bacillus thuringiensis strain Bt185 plasmid pBT1850042, complete sequence	0.695	86.774	yes	287
1600	N159_BC08	p_4943	tig00000256	52679	0	NA	Bacillus cereus NC7401 plasmid pNC1 DNA, complete sequence, strain: NC7401	0.241	84.103	yes	290
1601	N159_BC08	p_4944	tig00009102	7365	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.15	85.48	yes	112
1602	N239_BC03	p_4949	tig00002598	4071	0	NA	Serratia marcescens WW4 plasmid pSmWW4, complete sequence	0.402	88.26	yes	50
1603	N239_BC03	p_4951	tig00002597	8143	0	NA	Serratia marcescens WW4 plasmid pSmWW4, complete sequence	0.352	87.887	yes	50
1604	N213_BC06	p_4955	tig00000226	9078	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.786	88.84	yes	8
1605	N213_BC06	p_4957	tig00000461	4825	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.666	83.702	yes	37
1606	N213_BC06	p_4960	tig00000210	6102	0	NA	Bacillus thuringiensis strain HD12 plasmid pHD120345, complete sequence	0.379	84.92	yes	383
1607	N123_BC05	p_4963	tig00000028	9058	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.751	92.799	yes	8
1608	N123_BC05	p_4965	tig00000015	83739	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p142098, complete sequence	0.3	88.705	yes	12
1609	N223_BC10	p_4967	tig00002214	251252	0	NA	Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-1-360K, complete sequence	0.684	94.968	yes	288
1610	N223_BC10	p_4969	tig00000132	11898	0	NA	Bacillus thuringiensis strain Bt185 plasmid pBT1850012, complete sequence	0.391	88.509	yes	412
1611	N223_BC10	p_4971	tig00000177	4393	0	NA	Bacillus cereus H3081.97 plasmid pH308197 11, complete sequence	0.321	79.072	yes	214
1612	N148_BC05	p_4975	tig00000188	9064	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.695	93.593	yes	8
1613	N224_BC07	p_4979	tig00000117	9108	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.678	93.412	yes	8
1614	N224_BC07	p_4980	tig00000108	3971	0	NA	Bacillus cereus E33L plasmid pBCO 3, complete sequence	0.288	96.805	yes	39
1615	N224_BC07	p_4981	tig00000895	8978	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.272	86.87	yes	88
1616	N224_BC07	p_4983	tig00000897	8971	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.214	86.277	yes	88
1617	N228_BC02	p_4984	tig00000082	5137	0	NA	Acinetobacter sp. ACNIH1 plasmid pACI-3bd5, complete sequence	0.392	93.506	yes	322
